id,tokens,label
0,@user 왱 ? ? 원래 모든 아빠는 딸의 것 아님 ? ? ,1
1,@user 아덴트님도 해피 병신ㄴ ... ! ,1
2,썰렁,0
3,진짜 겁나 막장이야ㅋㅋㅋ학생도 선생도 다ㅋㅋㅋ떠들어놓고 내가 뭘했냐면서 지랄하는 학생이나 그런 학생보고 소리지르면서 목조르는 선생이나 . 명문학교는 개뿔 . 잘하는 애들만 데리고 가는 학교주제에 .,0
4,@user @user 마르언니가 졸리다뇨 ? 악몽의 환영 스킬이 모니터를 뚫는거신가 ? ! ,1
5,@user 노코멘트 ! ^ ^,0
6,정말 힘들고 굳을일 마다않고 .. 항상 우리 국민편인 이정희대표님 ! ! 감사합니다 눈물나도록 RT @user : 조금만 버티시길 .. 거의 다 왔습니다 . RT @user : [ #강정 ] 07:57 강정천 ! ! 현애자 의원님 연행 ! ! #gangjung,0
7,나도 올해 연애운인데 윤기랑 석찌오빠도 연애운이면 흫ㅎ헤헤ㅔ ? @user ,1
8,@user @user 육백일 ... ? ? ?,0
9,성의돋는다  URL,1
10,@user 그래서 울고 계신거에요 ? ㅎㅎ,0
11,@user 그러게요 ... 그래야 같이 하이개그를 할 수 있는데 ,1
12,더블제타 ! ,1
13,@user 그별로 가는 가장 빠른 방법은 . . ,1
14,... 병뚜껑을 좋아한다면 ... 그것을 화폐로쓰는 게임 .. 폴아웃을 하는것이 어떨까요 ? ,1
15,@user 화담도사 . 걱정마 . 난 지금 인간이고 붉은색보름달 뜰때만 마족의 여왕이니까 .. 걱정마 .. ,1
16,@user @user @user @user @user @user 누구죠 ? 놈현인가 ... 좋은일 하셨네 ... 내 참 ! ,1
17,@user 아항 !,0
18,[ Taengstagram ] 130529 나대신쏴줘진져야 URL by taeyeon_ss,0
19,선생님은 활짝 미소를 지으시며 완전 초능력 눈빛으로 우릴 평가했어 우린 어른되어 무대 위에 섰어 나름 일등상을 기대하면서,0
20,전 꿈왕국하다가 풀피 한턴만에 보스한테 내리 세번 깨지고 털렸습니닼ㅋㅋㅋ새캐 없어 . 드랍은 무슨 ... ㅠㅠㅠ내일까진데 영 안올것같네요 . 토모모리 잘생겼네요 . 근데 피의연회라니 블랙푸딩을 낼건가 ,1
21,@user ㅎㅎㅎㅇ � ㅎㅎㅇㅎㅎㅎㅅㅎㅅㅎㅇㅎ곧다시찐꺼야 ^ ^,0
22,"【 ( 유 ) 세기이동통신 】 · 직종 : 판매 , 전산 , 관리직 · 학력 : 고졸 · 경력 : 신입 및 경력 · 문의 : 063-255-2011 · 마감일 : 01월 05일",0
23,라고 문재인측은 판단한 듯 하다 . 다른 이유를 찾을 수 없을 만큼 그들의 침묵은 비정상적이다 .,0
24,@user 안녕 ~ ㅋㅋㅋ i dont see that cartoon > < why ?,0
25,저는 맛있게 먹겠습니다 : ),0
26,네가 이세상에 바르게 우뚝선다면 이엄마는 더이상 바랄것이 없어 .. #엄마,0
27,@user ... ( 받아들고 ) ... 호오 .. 꽤나 잘하는군 .. -,0
28,7회 1점차로 지고 있는데 원아웃 만루상황에서 병살 당해 이닝이 끝났을 때는 욕을 해도 된다는 것이 사회의 룰입니다 . ,1
29,@user 저리가요,0
30,@user 이제 괜차나 ? ? ? ㅜㅜ,0
31,"우리 야신께서는 큰그림을 그리셨던게 아닌가 생각한다 . 10년 , 20년이 지나도 바뀌지않는 한국 야구판을 우려하셔서 본인이 직접 총대를 메고 혹사문제를 수면 위로 끌어올리신거지 . 야구계의 큰어른이 아니라면 엄두를 낼 수 없는 일이었을테다 .. ",1
32,@user 약간만이라도 님이 원하는 방향의 포인트만 잡아주면 어떨까요 ? 다 바꾸지말고,0
33,@user 전 소녀시대 삼촌팬이에요 특히 태연 !,0
34,아이들 태운 기억은 있는데 타보지는 못했네요 .. RT @user : 허허헐 보긴 했는데 안타봤다냥 RT @user : 이거 타보신분 ! ! 풋춰핸섭 ~ ! ! URL,0
35,균형 3 by 조남준 #fairness #power  pic.twitter.com/BT9OGnFsHw,1
36,수도권 지하철 노선 언제 이렇게 멋지게 변했어 ? :)  #역하나하나작업중,1
37,@user 네 다음 내방역,0
38,아트아넨님은 사실 코트안에 TNT랑 작은 칼들 넣고다니신대 . ,1
39,내가 친 . 절 . 히 사진도 준비했는데 ~ ,1
40,나 랭크 14.3 % .. 이 정도면 나쁘지 않은데 .. ,1
41,아 내가 수업이라니,0
42,#161014 #경희대학교 #국제캠퍼스 평화콘서트 #양도  #zico #에릭남 #aoa 티켓 2장있습니다 디엠주세요 ~ 디엠 순서로 드립니다 경희대국제캠 사색의광장앞에서 드립니다,1
43,"이달의쿠폰전국민 무조건 1,000 원 할인 URL",0
44,#NowPlaying 가식걸 • Sistar - URL,0
45,전미경 에디터의 특별한 시크릿 노트를 보면 런던 올림픽 참관 기회가 ! URL,0
46,난 보수도 아닌데 보수애들이 나한테 말걸고 ... 친한척 하는거야 ... 아오 아침부터 짜증나게 ... ㅋㅋ,0
47,최악이라고 말할 수 있는 동안은 최악이 아니다 . 아니다 .,0
48,"노프신 분들은 "" 내 소켓 건드리지 마 ! "" 가 그렇게도 이해하기 어렵냐 ...  URL …",1
49,@user ㅋㅋㅋ 난쟁이균젤에다가 양아치 덕촤 ... ,1
50,@user 플픽이너무좋습니다 이쁘네요,0
51,@user 아뇨 ! ! ! ! 제여자 호프 서머스요 . 중요한 단어는 제여자입니다 .  pic.twitter.com/oYqTZcq8Mw,1
52,@user 늦잠님 감사합니다 ! ! !  이야아 8시까지먹고 ... 천천히 준비하면되겠다 8시35분에 만나서갈래 ?,1
53,그 커플은 너무 웃겨 ㅎㅎㅎ ,1
54,드디어 정체성을 깨달으셨군요 (  ),1
55,이미지화 된 NL과 현실NL을 한몸으로 보여주는 게 하태경이려나요 . ,1
56,"진짜 요줌 보기 힘든 명언이시네 .. RT . "" @user : 서기호 서울북부지원 판사 . "" 트윗은 자정능력 있으나 조중동은 법원 판결 나와야 겨우 타율적 정정을 한다 . "" """,0
57,리 )  pic.twitter.com/VwZkOXNj0n,1
58,@user @user 뜨든 .. 떡을치다못해 메다꽂는것까지나온단말인가 물레방앗간이 성행하겠네요 .. ! ! ,1
59,@user Lv5가 되는 동시에 죽을거야 .  호호호 .,1
60,@user @user @user 지 보호자한테 하는 거 봐라 ,1
61,"다음주부터 폭염이 누그러진다던데 올해는 광복절이 아닌 광폭절이라 불러야 하는 , , ",1
62,@user 어떤 도구 이길래 ?,0
63,@user 마그미 누나가 예뻐해준댔는데 왜 도발해 ? ㅋ,0
64,손에 들고있는 물건에 정감이 가네요 ~ ㅎㅎ RT @user : 이분을 주목해 주세요 . 2012년 월드미스유니버시티에서 화천 홍보대사로 선정된 이화여자대학교 유수란씨입니다 ^ ^ 화천 쪽배축제장에서 ~ URL,0
